,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
778,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.004,Elevated Execution with Prompt,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
779,veris,1.4.1,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1543,Create or Modify System Process,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
780,veris,1.4.1,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1543,Create or Modify System Process,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
781,veris,1.4.1,action.malware,action.malware.variety.Rootkit,Rootkit (maintain local privileges and stealth),related-to,T1543,Create or Modify System Process,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
782,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543,Create or Modify System Process,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
783,veris,1.4.1,action.hacking,action.hacking.variety.Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness),related-to,T1548.004,Elevated Execution with Prompt,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
784,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.001,Launch Agent,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
785,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.005,Temporary Elevated Cloud Access,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
786,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.002,Systemd Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
787,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1548.006,TCC Manipulation,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
